STATION,NAME,DATE,TAVG,TMAX,TMIN
USR0000NSPM,"SPRUCE MOUNTAIN NEVADA, NV US",8/13/2021,79,93,66
USR0000NSPM,"SPRUCE MOUNTAIN NEVADA, NV US",8/14/2021,79,93,64
USR0000NSPM,"SPRUCE MOUNTAIN NEVADA, NV US",8/15/2021,76,91,65
USR0000NSPM,"SPRUCE MOUNTAIN NEVADA, NV US",8/16/2021,78,94,62
USR0000NSPM,"SPRUCE MOUNTAIN NEVADA, NV US",8/17/2021,76,92,61
USR0000NSPM,"SPRUCE MOUNTAIN NEVADA, NV US",8/18/2021,57,66,46
USR0000NSPM,"SPRUCE MOUNTAIN NEVADA, NV US",8/19/2021,55,67,45
USR0000NSPM,"SPRUCE MOUNTAIN NEVADA, NV US",8/20/2021,60,76,43
USR0000NSPM,"SPRUCE MOUNTAIN NEVADA, NV US",8/21/2021,60,74,49
USR0000NSPM,"SPRUCE MOUNTAIN NEVADA, NV US",8/22/2021,64,81,46
USR0000NSPM,"SPRUCE MOUNTAIN NEVADA, NV US",8/23/2021,71,85,55
USR0000NSPM,"SPRUCE MOUNTAIN NEVADA, NV US",8/24/2021,72,85,59
USR0000NSPM,"SPRUCE MOUNTAIN NEVADA, NV US",8/25/2021,71,83,55
USR0000NSPM,"SPRUCE MOUNTAIN NEVADA, NV US",8/26/2021,68,83,53
USR0000NSPM,"SPRUCE MOUNTAIN NEVADA, NV US",8/27/2021,68,83,50
USR0000NSPM,"SPRUCE MOUNTAIN NEVADA, NV US",8/28/2021,65,83,47
USR0000NSPM,"SPRUCE MOUNTAIN NEVADA, NV US",8/29/2021,69,86,53
USR0000NSPM,"SPRUCE MOUNTAIN NEVADA, NV US",8/30/2021,73,88,54
USR0000NSPM,"SPRUCE MOUNTAIN NEVADA, NV US",8/31/2021,73,88,58
USR0000NSPM,"SPRUCE MOUNTAIN NEVADA, NV US",9/1/2021,68,82,51
USR0000NSPM,"SPRUCE MOUNTAIN NEVADA, NV US",9/2/2021,67,83,53
USR0000NSPM,"SPRUCE MOUNTAIN NEVADA, NV US",9/3/2021,62,79,43
USR0000NSPM,"SPRUCE MOUNTAIN NEVADA, NV US",9/4/2021,66,84,50
USR0000NSPM,"SPRUCE MOUNTAIN NEVADA, NV US",9/5/2021,71,89,52
USR0000NSPM,"SPRUCE MOUNTAIN NEVADA, NV US",9/6/2021,74,90,57
USR0000NSPM,"SPRUCE MOUNTAIN NEVADA, NV US",9/7/2021,74,91,56
USR0000NSPM,"SPRUCE MOUNTAIN NEVADA, NV US",9/8/2021,75,95,59
USR0000NSPM,"SPRUCE MOUNTAIN NEVADA, NV US",9/9/2021,75,92,61
USR0000NSPM,"SPRUCE MOUNTAIN NEVADA, NV US",9/10/2021,70,85,59
USR0000NSPM,"SPRUCE MOUNTAIN NEVADA, NV US",9/11/2021,61,78,53
USR0000NSPM,"SPRUCE MOUNTAIN NEVADA, NV US",9/12/2021,66,81,51
USR0000NSPM,"SPRUCE MOUNTAIN NEVADA, NV US",9/13/2021,66,79,51
USR0000NSPM,"SPRUCE MOUNTAIN NEVADA, NV US",9/14/2021,65,81,49
USR0000NSPM,"SPRUCE MOUNTAIN NEVADA, NV US",9/15/2021,67,83,51
USR0000NSPM,"SPRUCE MOUNTAIN NEVADA, NV US",9/16/2021,66,80,52
USR0000NSPM,"SPRUCE MOUNTAIN NEVADA, NV US",9/17/2021,66,83,49
USR0000NSPM,"SPRUCE MOUNTAIN NEVADA, NV US",9/18/2021,67,78,53
USR0000NSPM,"SPRUCE MOUNTAIN NEVADA, NV US",9/19/2021,57,66,43
USR0000NSPM,"SPRUCE MOUNTAIN NEVADA, NV US",9/20/2021,47,62,33
USR0000NSPM,"SPRUCE MOUNTAIN NEVADA, NV US",9/21/2021,54,72,37
USR0000NSPM,"SPRUCE MOUNTAIN NEVADA, NV US",9/22/2021,61,80,44
USR0000NSPM,"SPRUCE MOUNTAIN NEVADA, NV US",9/23/2021,59,72,47
USR0000NSPM,"SPRUCE MOUNTAIN NEVADA, NV US",9/24/2021,59,76,43
USR0000NSPM,"SPRUCE MOUNTAIN NEVADA, NV US",9/25/2021,65,82,47
USR0000NSPM,"SPRUCE MOUNTAIN NEVADA, NV US",9/26/2021,66,82,52
USR0000NSPM,"SPRUCE MOUNTAIN NEVADA, NV US",9/27/2021,67,83,51
USR0000NSPM,"SPRUCE MOUNTAIN NEVADA, NV US",9/28/2021,51,59,34
USR0000NSPM,"SPRUCE MOUNTAIN NEVADA, NV US",9/29/2021,43,58,27
USR0000NSPM,"SPRUCE MOUNTAIN NEVADA, NV US",9/30/2021,47,61,32
USR0000NSPM,"SPRUCE MOUNTAIN NEVADA, NV US",10/1/2021,52,68,37
USR0000NSPM,"SPRUCE MOUNTAIN NEVADA, NV US",10/2/2021,56,74,41
USR0000NSPM,"SPRUCE MOUNTAIN NEVADA, NV US",10/3/2021,58,74,44
USR0000NSPM,"SPRUCE MOUNTAIN NEVADA, NV US",10/4/2021,60,77,46
USR0000NSPM,"SPRUCE MOUNTAIN NEVADA, NV US",10/5/2021,56,70,46
USR0000NSPM,"SPRUCE MOUNTAIN NEVADA, NV US",10/6/2021,51,66,45
USR0000NSPM,"SPRUCE MOUNTAIN NEVADA, NV US",10/7/2021,48,57,41
USR0000NSPM,"SPRUCE MOUNTAIN NEVADA, NV US",10/8/2021,45,57,39
USR0000NSPM,"SPRUCE MOUNTAIN NEVADA, NV US",10/9/2021,42,47,37
USR0000NSPM,"SPRUCE MOUNTAIN NEVADA, NV US",10/10/2021,45,58,31
USR0000NSPM,"SPRUCE MOUNTAIN NEVADA, NV US",10/11/2021,34,43,29
USR0000NSPM,"SPRUCE MOUNTAIN NEVADA, NV US",10/12/2021,33,40,25
USR0000NSPM,"SPRUCE MOUNTAIN NEVADA, NV US",10/13/2021,34,44,21
USR0000NSPM,"SPRUCE MOUNTAIN NEVADA, NV US",10/14/2021,37,44,31
USR0000NSPM,"SPRUCE MOUNTAIN NEVADA, NV US",10/15/2021,40,55,26
USR0000NSPM,"SPRUCE MOUNTAIN NEVADA, NV US",10/16/2021,46,62,31
USR0000NSPM,"SPRUCE MOUNTAIN NEVADA, NV US",10/17/2021,50,67,36
USR0000NSPM,"SPRUCE MOUNTAIN NEVADA, NV US",10/18/2021,40,48,32
USR0000NSPM,"SPRUCE MOUNTAIN NEVADA, NV US",10/19/2021,40,53,31
USR0000NSPM,"SPRUCE MOUNTAIN NEVADA, NV US",10/20/2021,45,57,34
USR0000NSPM,"SPRUCE MOUNTAIN NEVADA, NV US",10/21/2021,49,66,35
USR0000NSPM,"SPRUCE MOUNTAIN NEVADA, NV US",10/22/2021,50,67,38
