NAME,DATE,TAVG,TMIN,TMAX
"IOWA CITY MUNICIPAL AIRPORT, IA US",1/3/2021,38.13793103448276,38.13793103448276,38.13793103448276
"MDC CLINTON HQTRS MISSOURI, MO US",1/3/2021,33.0,33.0,33.0
"PLEASANT GROVE UTAH, UT US",1/3/2021,30.0,30.0,30.0
"SAND CREEK NORTH DAKOTA, ND US",1/3/2021,37.0,37.0,37.0
"CAMPBELL 1.4 NNW, FL US",1/3/2021,38.13793103448276,38.13793103448276,38.13793103448276
"KISATCHIE FTS LOUISIANA, LA US",1/3/2021,47.0,47.0,47.0
"ALLISON OREGON, OR US",1/3/2021,35.0,35.0,35.0
"CALAVERAS ROAD CALIFORNIA, CA US",1/3/2021,50.0,50.0,50.0
"ALBUQUERQUE 5.0 NE, NM US",1/3/2021,38.13793103448276,38.13793103448276,38.13793103448276
"BUDE MISSISSIPPI, MS US",1/3/2021,45.0,45.0,45.0
"MARTINSBURG EASTERN WEST VIRGINIA REGIONAL AIRPORT, WV US",1/3/2021,38.13793103448276,38.13793103448276,38.13793103448276
"MOUNT RUSHMORE SOUTH DAKOTA, SD US",1/3/2021,38.0,38.0,38.0
"ST. MARY MONTANA, MT US",1/3/2021,32.0,32.0,32.0
"BARKHAMSTED, CT US",1/3/2021,38.13793103448276,38.13793103448276,38.13793103448276
"SPRUCE MOUNTAIN NEVADA, NV US",1/4/2021,33.0,33.0,33.0
"CASPER MOUNTAIN WYOMING, WY US",1/4/2021,25.0,25.0,25.0
"WISCONSIN RAPIDS ALEXANDER FIELD, WI US",1/4/2021,39.241379310344826,39.241379310344826,39.241379310344826
"BLACK KNOB WASHINGTON, WA US",1/4/2021,44.0,44.0,44.0
"FORT BRAGG NORTH CAROLINA, NC US",1/4/2021,45.0,45.0,45.0
"COLORADO BEND TEXAS, TX US",1/4/2021,54.0,54.0,54.0
"MARTIN UNIVERSITY OF TN EXPERIMENT STATION, TN US",1/4/2021,39.241379310344826,39.241379310344826,39.241379310344826
"SHOCK IDAHO, ID US",1/4/2021,35.0,35.0,35.0
"ELMORE VERMONT, VT US",1/4/2021,29.0,29.0,29.0
"ALLEGHENY PENNSYLVANIA, PA US",1/4/2021,31.0,31.0,31.0
"COLORADO CITY COLORADO, CO US",1/4/2021,48.0,48.0,48.0
"VALENTINE NEBRASKA, NE US",1/4/2021,36.0,36.0,36.0
"SOMERSET KENTUCKY, KY US",1/4/2021,38.0,38.0,38.0
